legacy_symbol	root_object	bucket	member	accessor	owner_source	notes
pgStatFixedSnapshotData	PgBackend	pgstat_pending	fixed_snapshot_context	PgCurrentPgStatFixedSnapshotContextRef	src/backend/utils/activity/backend_runtime_pgstat.c	fixed custom pgstat snapshot payload pointers stored in pgStatLocal.snapshot.custom_data and owned by pgStatFixedSnapshotContext
globalChannelTable	PgBackend	utility	async_global_channel_table	PgCurrentAsyncGlobalChannelTableRef	src/backend/commands/async.c	backend-local dshash attachment for the shared LISTEN/NOTIFY global channel table; shared handles live in AsyncQueueControl
globalChannelDSA	PgBackend	utility	async_global_channel_dsa	PgCurrentAsyncGlobalChannelDSARef	src/backend/commands/async.c	backend-local DSA mapping for the shared LISTEN/NOTIFY global channel table; detached on closed-backend reset
localBackendStatusTable	PgBackend	activity	backend_status_table	PgCurrentLocalBackendStatusTableRef	src/backend/utils/activity/backend_runtime_pgstat.c	backend-status local snapshot table owned by PgBackend.activity and cleared on closed-backend reset
localNumBackends	PgBackend	activity	num_backends	PgCurrentLocalNumBackendsRef	src/backend/utils/activity/backend_runtime_pgstat.c	backend-status local snapshot count owned by PgBackend.activity and cleared on closed-backend reset
backendStatusSnapContext	PgBackend	activity	backend_status_context	PgCurrentBackendStatusSnapContextRef	src/backend/utils/activity/backend_runtime_pgstat.c	backend-status local snapshot memory context owned by PgBackend.activity and deleted on closed-backend reset
LocalBufferContext	PgBackend	buffers	local_buffer_context	PgCurrentLocalBufferContextRef	src/backend/storage/buffer/backend_runtime_buffer.c	backend-owned local-buffer storage context allocated through PgRuntimeGetOwnedMemoryContext and deleted on closed-backend reset
localBufferCurBlock	PgBackend	buffers	local_buffer_cur_block	PgCurrentLocalBufferCurBlockRef	src/backend/storage/buffer/backend_runtime_buffer.c	current local-buffer allocation block owned by LocalBufferContext
localBufferNextBufInBlock	PgBackend	buffers	local_buffer_next_buf_in_block	PgCurrentLocalBufferNextBufInBlockRef	src/backend/storage/buffer/backend_runtime_buffer.c	local-buffer allocation cursor inside current block
localBufferNumBufsInBlock	PgBackend	buffers	local_buffer_num_bufs_in_block	PgCurrentLocalBufferNumBufsInBlockRef	src/backend/storage/buffer/backend_runtime_buffer.c	local-buffer allocation block capacity
localBufferTotalBufsAllocated	PgBackend	buffers	local_buffer_total_bufs_allocated	PgCurrentLocalBufferTotalBufsAllocatedRef	src/backend/storage/buffer/backend_runtime_buffer.c	total local buffers allocated in LocalBufferContext for this backend
BackendBufferContext	PgBackend	buffers	buffer_context	PgBackendBufferAllocationContext	src/backend/utils/init/backend_runtime_backend.c	backend-owned buffer helper allocation context allocated through PgRuntimeGetOwnedMemoryContextWithSizes and deleted on closed-backend reset
BackendWritebackContext	PgBackend	buffers	backend_writeback_context	PgCurrentBackendWritebackContextRef	src/backend/storage/buffer/backend_runtime_buffer.c	backend-owned shared-buffer writeback context allocated in BackendBufferContext
PrivateRefCountArrayKeys	PgBackend	buffers	private_ref_count_array_keys	PgCurrentPrivateRefCountArrayKeysRef	src/backend/storage/buffer/backend_runtime_buffer.c	backend-owned private buffer refcount array keys allocated in BackendBufferContext
PrivateRefCountArray	PgBackend	buffers	private_ref_count_array	PgCurrentPrivateRefCountArrayRef	src/backend/storage/buffer/backend_runtime_buffer.c	backend-owned private buffer refcount array entries allocated in BackendBufferContext
PrivateRefCountHash	PgBackend	buffers	private_ref_count_hash	PgCurrentPrivateRefCountHashRef	src/backend/storage/buffer/backend_runtime_buffer.c	backend-owned private buffer refcount overflow hash destroyed on closed-backend reset
PrivateRefCountOverflowed	PgBackend	buffers	private_ref_count_overflowed	PgCurrentPrivateRefCountOverflowedRef	src/backend/storage/buffer/backend_runtime_buffer.c	backend-owned private buffer refcount overflow counter
PrivateRefCountClock	PgBackend	buffers	private_ref_count_clock	PgCurrentPrivateRefCountClockRef	src/backend/storage/buffer/backend_runtime_buffer.c	backend-owned private buffer refcount clock hand
ReservedRefCountSlot	PgBackend	buffers	reserved_ref_count_slot	PgCurrentReservedRefCountSlotRef	src/backend/storage/buffer/backend_runtime_buffer.c	backend-owned private buffer reserved refcount slot initialized to -1
PrivateRefCountEntryLast	PgBackend	buffers	private_ref_count_entry_last	PgCurrentPrivateRefCountEntryLastRef	src/backend/storage/buffer/backend_runtime_buffer.c	backend-owned private buffer fast-path last refcount entry initialized to -1
MaxProportionalPins	PgBackend	buffers	max_proportional_pins	PgCurrentMaxProportionalPinsRef	src/backend/storage/buffer/backend_runtime_buffer.c	backend-owned private buffer pin budget
MdCxt	PgBackend	storage	md_context	PgCurrentMdContextRef	src/backend/storage/file/backend_runtime_file.c	backend-owned smgr MdfdVec memory context allocated through PgRuntimeGetOwnedMemoryContext and deleted on closed-backend reset
pendingOps	PgBackend	storage	sync_pending_ops	PgCurrentSyncPendingOpsRef	src/backend/storage/file/backend_runtime_file.c	pending fsync hash table stored in SyncPendingOpsContext
pendingUnlinks	PgBackend	storage	sync_pending_unlinks	PgCurrentSyncPendingUnlinksRef	src/backend/storage/file/backend_runtime_file.c	pending unlink list cells allocated in SyncPendingOpsContext
pendingOpsCxt	PgBackend	storage	sync_pending_ops_context	PgCurrentSyncPendingOpsContextRef	src/backend/storage/file/backend_runtime_file.c	backend-owned pending sync operations context allocated through PgRuntimeGetOwnedMemoryContext and deleted on closed-backend reset
PendingBgWriterStats	PgBackend	pgstat_pending	pending_bgwriter	PgCurrentPendingBgWriterStatsRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending bgwriter statistics
PendingCheckpointerStats	PgBackend	pgstat_pending	pending_checkpointer	PgCurrentPendingCheckpointerStatsRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending checkpointer statistics
PendingIOStats	PgBackend	pgstat_pending	io_stats	PgCurrentPendingIOStatsRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending IO statistics
have_iostats	PgBackend	pgstat_pending	io_stats_pending	PgCurrentHaveIOStatsRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending IO statistics flag
InterruptPending	PgBackend	pending_interrupts	interrupt_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local legacy interrupt dispatcher flag fed by signals and logical interrupt mailbox
QueryCancelPending	PgBackend	pending_interrupts	query_cancel_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local query-cancel pending flag set by signal and logical mailbox paths
ProcDiePending	PgBackend	pending_interrupts	proc_die_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local terminate pending flag set by signal and logical mailbox paths
ProcDieSenderPid	PgBackend	pending_interrupts	proc_die_sender_pid	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local sender pid captured for proc-die reporting
ProcDieSenderUid	PgBackend	pending_interrupts	proc_die_sender_uid	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local sender uid captured for proc-die reporting
IdleInTransactionSessionTimeoutPending	PgBackend	pending_interrupts	idle_in_transaction_session_timeout_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local idle-in-transaction timeout pending flag
TransactionTimeoutPending	PgBackend	pending_interrupts	transaction_timeout_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local transaction timeout pending flag
IdleSessionTimeoutPending	PgBackend	pending_interrupts	idle_session_timeout_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local idle-session timeout pending flag
ProcSignalBarrierPending	PgBackend	pending_interrupts	proc_signal_barrier_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local proc-signal barrier pending flag
LogMemoryContextPending	PgBackend	pending_interrupts	log_memory_context_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local log-memory-context pending flag
IdleStatsUpdateTimeoutPending	PgBackend	pending_interrupts	idle_stats_update_timeout_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local idle stats update timeout pending flag
ConfigReloadPending	PgBackend	pending_interrupts	config_reload_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local config reload pending flag
ShutdownRequestPending	PgBackend	pending_interrupts	shutdown_request_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local shutdown request pending flag
WakeupStopPending	PgBackend	pending_interrupts	wakeup_stop_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local wakeup stop pending flag
AutoVacLauncherPending	PgBackend	pending_interrupts	autovac_launcher_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local autovacuum launcher wakeup pending flag
CheckpointerShutdownXLOGPending	PgBackend	pending_interrupts	checkpointer_shutdown_xlog_pending	PgCurrentPendingInterruptStateRef	src/backend/postmaster/interrupt.c	backend-local checkpointer shutdown-xlog pending flag
InterruptHoldoffCount	PgBackend	interrupt_holdoffs	interrupt_holdoff_count	PgCurrentInterruptHoldoffCountRef	src/backend/postmaster/interrupt.c	backend-local general interrupt holdoff depth
QueryCancelHoldoffCount	PgBackend	interrupt_holdoffs	query_cancel_holdoff_count	PgCurrentQueryCancelHoldoffCountRef	src/backend/postmaster/interrupt.c	backend-local query-cancel holdoff depth
CritSectionCount	PgBackend	interrupt_holdoffs	crit_section_count	PgCurrentCritSectionCountRef	src/backend/postmaster/interrupt.c	backend-local critical section depth that escalates ERROR/FATAL handling
PendingSLRUStats	PgBackend	pgstat_pending	slru_stats	PgCurrentPendingSLRUStatsArray	src/backend/utils/activity/backend_runtime_pgstat.c	pending SLRU statistics array
have_slrustats	PgBackend	pgstat_pending	slru_stats_pending	PgCurrentHaveSLRUStatsRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending SLRU statistics flag
PendingLockStats	PgBackend	pgstat_pending	lock_stats	PgCurrentPendingLockStatsRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending lock statistics
have_lockstats	PgBackend	pgstat_pending	lock_stats_pending	PgCurrentHaveLockStatsRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending lock statistics flag
PendingBackendStats	PgBackend	pgstat_pending	backend_stats	PgCurrentPendingBackendStatsRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending backend statistics
have_backend_iostats	PgBackend	pgstat_pending	backend_io_stats_pending	PgCurrentBackendHasIOStatsRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending backend IO statistics flag
pgStatPendingContext	PgBackend	pgstat_pending	pending_context	PgCurrentPgStatPendingContextRef	src/backend/utils/activity/backend_runtime_pgstat.c	memory context for pending pgstat entries
pgStatPending	PgBackend	pgstat_pending	pending	PgCurrentPgStatPendingListRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending pgstat entry list head
pgStatEntryRefHash	PgBackend	pgstat_pending	entry_ref_hash	PgCurrentPgStatEntryRefHashRef	src/backend/utils/activity/backend_runtime_pgstat.c	local references to shared pgstat entries
pgStatSharedRefAge	PgBackend	pgstat_pending	shared_ref_age	PgCurrentPgStatSharedRefAgeRef	src/backend/utils/activity/backend_runtime_pgstat.c	age counter for shared pgstat references
pgStatSharedRefContext	PgBackend	pgstat_pending	shared_ref_context	PgCurrentPgStatSharedRefContextRef	src/backend/utils/activity/backend_runtime_pgstat.c	memory context for shared pgstat reference state
pgStatEntryRefHashContext	PgBackend	pgstat_pending	entry_ref_hash_context	PgCurrentPgStatEntryRefHashContextRef	src/backend/utils/activity/backend_runtime_pgstat.c	memory context for pgstat entry-reference hash
prevBackendWalUsage	PgBackend	pgstat_pending	backend_wal_prev_usage	PgCurrentPgStatPrevBackendWalUsageRef	src/backend/utils/activity/backend_runtime_pgstat.c	previous backend WAL usage snapshot
pgstat_report_fixed	PgBackend	pgstat_pending	report_fixed	PgCurrentPgStatReportFixedRef	src/backend/utils/activity/backend_runtime_pgstat.c	fixed pgstat report flag
pgStatForceNextFlush	PgBackend	pgstat_pending	force_next_flush	PgCurrentPgStatForceNextFlushRef	src/backend/utils/activity/backend_runtime_pgstat.c	force next pgstat flush flag
pgstat_force_snapshot_clear	PgBackend	pgstat_pending	force_snapshot_clear	PgCurrentForceStatsSnapshotClearRef	src/backend/utils/activity/backend_runtime_pgstat.c	force stats snapshot clear flag
pgstat_is_initialized	PgBackend	pgstat_pending	is_initialized	PgCurrentPgStatIsInitializedRef	src/backend/utils/activity/backend_runtime_pgstat.c	backend-local pgstat initialization flag
pgstat_is_shutdown	PgBackend	pgstat_pending	is_shutdown	PgCurrentPgStatIsShutdownRef	src/backend/utils/activity/backend_runtime_pgstat.c	backend-local pgstat shutdown flag
pgStatXactCommit	PgBackend	pgstat_pending	xact_commit	PgCurrentPgStatXactCommitRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending transaction commit counter
pgStatXactRollback	PgBackend	pgstat_pending	xact_rollback	PgCurrentPgStatXactRollbackRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending transaction rollback counter
pgStatBlockReadTime	PgBackend	pgstat_pending	block_read_time	PgCurrentPgStatBlockReadTimeRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending block-read time counter
pgStatBlockWriteTime	PgBackend	pgstat_pending	block_write_time	PgCurrentPgStatBlockWriteTimeRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending block-write time counter
pgStatActiveTime	PgBackend	pgstat_pending	active_time	PgCurrentPgStatActiveTimeRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending active-time counter
pgStatTransactionIdleTime	PgBackend	pgstat_pending	transaction_idle_time	PgCurrentPgStatTransactionIdleTimeRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending transaction-idle-time counter
total_func_time	PgBackend	pgstat_pending	func_total_time	PgCurrentPgStatTotalFuncTimeRef	src/backend/utils/activity/backend_runtime_pgstat.c	pending function execution time accumulator
prevWalUsage	PgBackend	pgstat_pending	wal_prev_usage	PgCurrentPgStatPrevWalUsageRef	src/backend/utils/activity/backend_runtime_pgstat.c	previous WAL usage snapshot
provider	PgSession	jit_provider_state	provider	PgCurrentJitProviderCallbacksRef	src/backend/jit/backend_runtime_jit.c	JIT provider callback table; provider dynamic library handle is dfmgr-owned
provider_successfully_loaded	PgSession	jit_provider_state	provider_successfully_loaded	PgCurrentJitProviderSuccessfullyLoadedRef	src/backend/jit/backend_runtime_jit.c	JIT provider successful-load cache flag
provider_failed_loading	PgSession	jit_provider_state	provider_failed_loading	PgCurrentJitProviderFailedLoadingRef	src/backend/jit/backend_runtime_jit.c	JIT provider failed-load cache flag
TypeParamBool	PgSession	llvm_jit	type_param_bool	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider bool-return type reference
TypePGFunction	PgSession	llvm_jit	type_pg_function	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider PGFunction type reference
TypeSizeT	PgSession	llvm_jit	type_size_t	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider size_t type reference
TypeDatum	PgSession	llvm_jit	type_datum	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider Datum type reference
TypeStorageBool	PgSession	llvm_jit	type_storage_bool	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider storage bool type reference
StructNullableDatum	PgSession	llvm_jit	struct_nullable_datum	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider NullableDatum struct reference
StructTupleDescData	PgSession	llvm_jit	struct_tuple_desc_data	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider TupleDescData struct reference
StructHeapTupleData	PgSession	llvm_jit	struct_heap_tuple_data	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider HeapTupleData struct reference
StructHeapTupleHeaderData	PgSession	llvm_jit	struct_heap_tuple_header_data	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider HeapTupleHeaderData struct reference
StructMinimalTupleData	PgSession	llvm_jit	struct_minimal_tuple_data	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider MinimalTupleData struct reference
StructTupleTableSlot	PgSession	llvm_jit	struct_tuple_table_slot	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider TupleTableSlot struct reference
StructHeapTupleTableSlot	PgSession	llvm_jit	struct_heap_tuple_table_slot	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider HeapTupleTableSlot struct reference
StructMinimalTupleTableSlot	PgSession	llvm_jit	struct_minimal_tuple_table_slot	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider MinimalTupleTableSlot struct reference
StructMemoryContextData	PgSession	llvm_jit	struct_memory_context_data	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider MemoryContextData struct reference
StructFunctionCallInfoData	PgSession	llvm_jit	struct_function_call_info_data	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider FunctionCallInfoData struct reference
StructExprContext	PgSession	llvm_jit	struct_expr_context	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider ExprContext struct reference
StructExprEvalStep	PgSession	llvm_jit	struct_expr_eval_step	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider ExprEvalStep struct reference
StructExprState	PgSession	llvm_jit	struct_expr_state	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider ExprState struct reference
StructAggState	PgSession	llvm_jit	struct_agg_state	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider AggState struct reference
StructAggStatePerTransData	PgSession	llvm_jit	struct_agg_state_per_trans_data	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider AggStatePerTransData struct reference
StructAggStatePerGroupData	PgSession	llvm_jit	struct_agg_state_per_group_data	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider AggStatePerGroupData struct reference
StructPlanState	PgSession	llvm_jit	struct_plan_state	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider PlanState struct reference
AttributeTemplate	PgSession	llvm_jit	attribute_template	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider attribute template function reference
ExecEvalBoolSubroutineTemplate	PgSession	llvm_jit	exec_eval_bool_subroutine_template	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider bool subroutine template function reference
ExecEvalSubroutineTemplate	PgSession	llvm_jit	exec_eval_subroutine_template	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider subroutine template function reference
llvm_types_module	PgSession	llvm_jit	types_module	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider bitcode type module
llvm_session_initialized	PgSession	llvm_jit	session_initialized	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider per-session initialization flag
llvm_generation	PgSession	llvm_jit	generation	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider generated-module counter
llvm_jit_context_in_use_count	PgSession	llvm_jit	jit_context_in_use_count	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider active JitContext counter
llvm_llvm_context_reuse_count	PgSession	llvm_jit	llvm_context_reuse_count	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM context reuse counter
llvm_triple	PgSession	llvm_jit	triple	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM target triple string
llvm_layout	PgSession	llvm_jit	layout	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM data layout string
llvm_context	PgSession	llvm_jit	context	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM provider context
llvm_targetref	PgSession	llvm_jit	targetref	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM target reference
llvm_ts_context	PgSession	llvm_jit	ts_context	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM ORC thread-safe context
llvm_opt0_orc	PgSession	llvm_jit	opt0_orc	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM ORC JIT instance for opt0
llvm_opt3_orc	PgSession	llvm_jit	opt3_orc	PgCurrentLLVMJitState	src/backend/jit/llvm/llvmjit.c	LLVM ORC JIT instance for opt3
default_with_oids	PgSession	general_guc	default_with_oids_value	PgCurrentDefaultWithOidsRef	src/backend/utils/misc/backend_runtime_guc.c	backward-compatibility GUC backing value
standard_conforming_strings	PgSession	general_guc	standard_conforming_strings_value	PgCurrentStandardConformingStringsRef	src/backend/utils/misc/backend_runtime_guc.c	backward-compatibility GUC backing value
phony_random_seed	PgSession	general_guc	phony_random_seed_value	PgCurrentPhonyRandomSeedRef	src/backend/utils/misc/backend_runtime_guc.c	seed GUC compatibility backing value; real PRNG state lives elsewhere
session_authorization_string	PgSession	general_guc	session_authorization_string_value	PgCurrentSessionAuthorizationStringRef	src/backend/utils/misc/backend_runtime_guc.c	session_authorization display string owned through GUC machinery
ssl_renegotiation_limit	PgSession	connection_guc	ssl_renegotiation_limit_value	PgCurrentSslRenegotiationLimitRef	src/backend/utils/misc/backend_runtime_guc.c	ignored compatibility GUC backing value
datestyle_string	PgSession	datetime	datestyle_string_value	PgCurrentDateStyleStringRef	src/backend/utils/misc/backend_runtime_guc.c	DateStyle GUC display string owned through GUC machinery
timezone_abbreviations_string	PgSession	datetime	timezone_abbreviations_string_value	PgCurrentTimeZoneAbbreviationsStringRef	src/backend/utils/misc/backend_runtime_guc.c	timezone_abbreviations GUC string owned through GUC machinery
client_encoding_string	PgSession	encoding	client_encoding_string_value	PgCurrentClientEncodingStringRef	src/backend/utils/misc/backend_runtime_guc.c	client_encoding display string owned through GUC machinery
server_encoding_string	PgSession	encoding	server_encoding_string_value	PgCurrentServerEncodingStringRef	src/backend/utils/misc/backend_runtime_guc.c	server_encoding display string owned through GUC machinery
GUCMemoryContext	PgSession	guc	memory_context	PgCurrentGUCMemoryContextRef	src/backend/utils/misc/backend_runtime_guc.c	session-owned central GUC registry context; owns copied GUC records, hash storage, custom variables, stack entries, and reporting list entries
guc_variables	PgSession	guc	variables	PgCurrentGUCVariablesRef	src/backend/utils/misc/backend_runtime_guc.c	session-owned copied GUC variable array allocated in GUCMemoryContext
num_guc_variables	PgSession	guc	num_variables	PgCurrentNumGUCVariablesRef	src/backend/utils/misc/backend_runtime_guc.c	session GUC variable count
guc_hashtab	PgSession	guc	hash_table	PgCurrentGUCHashTableRef	src/backend/utils/misc/backend_runtime_guc.c	session GUC name hash table allocated in GUCMemoryContext
guc_nondef_list	PgSession	guc	nondef_list	PgCurrentGUCNondefListRef	src/backend/utils/misc/backend_runtime_guc.c	session list of GUC records with non-default state
guc_stack_list	PgSession	guc	stack_list	PgCurrentGUCStackListRef	src/backend/utils/misc/backend_runtime_guc.c	session list of transactional GUC stack entries
guc_report_list	PgSession	guc	report_list	PgCurrentGUCReportListRef	src/backend/utils/misc/backend_runtime_guc.c	session list of GUC records pending protocol reporting
reporting_enabled	PgSession	guc	reporting_enabled	PgCurrentGUCReportingEnabledRef	src/backend/utils/misc/backend_runtime_guc.c	session flag enabling GUC reporting to the client
GUCNestLevel	PgSession	guc	nest_level	PgCurrentGUCNestLevelRef	src/backend/utils/misc/backend_runtime_guc.c	session GUC nesting level
